dataset,Children per step,Fraction of mutation,max_population_size,normalize,pop_size,selection _type,Total number of evaluations
15,11,0.65,3,FALSE,45,0,5
50,9,0.43,8,FALSE,11,2,5
54,15,0.09,6,FALSE,35,2,9
458,10,0.91,7,FALSE,46,1,6
469,17,0.35,3,TRUE,5,2,10
1049,10,0.96,7,FALSE,46,1,6
1050,16,0.5,8,FALSE,16,2,10
1063,10,0.5,8,FALSE,16,2,10
1068,7,0.49,4,FALSE,43,2,10
1462,11,0.65,3,FALSE,45,0,5
1464,12,0.58,9,TRUE,4,2,10
1480,9,0.43,8,FALSE,11,2,5
1494,11,0.65,3,FALSE,45,0,5
1510,15,0.09,6,FALSE,35,2,9
40975,15,0.92,3,FALSE,27,0,10
40982,16,0.5,8,FALSE,16,2,10
40994,15,0.63,6,TRUE,17,1,4
11,15,0.42,9,TRUE,3,0,9
14,11,0.65,3,FALSE,45,0,5
16,10,0.91,7,FALSE,46,1,6
18,16,0.03,4,TRUE,39,2,9
22,19,0.31,2,TRUE,15,2,7
23,13,0.48,3,TRUE,25,2,9
31,7,0.49,4,FALSE,43,2,10
37,19,0.91,3,FALSE,3,2,10
digit,11,0.65,3,FALSE,45,0,5
iris,11,0.65,3,FALSE,45,0,5
