"Step","23 - dims_best_member","23 - dims_best_member__MIN","23 - dims_best_member__MAX"
"0","9","9","9"
"1","9.333333333333334","8","10"
"2","18.833333333333332","8","66"
"3","9.166666666666666","8","11"
"4","9.166666666666666","8","11"
"5","24.833333333333332","8","67"
"6","19","8","67"
"7","9.666666666666666","8","12"
"8","9.666666666666666","8","12"
"9","23","8","91"
"10","23","8","91"
"11","22.833333333333332","8","91"
"12","10","8","13"
"13","10.333333333333334","9","14"
"14","10.333333333333334","9","14"
"15","10.333333333333334","9","14"
"16","10.333333333333334","9","14"
"17","10.333333333333334","9","14"
"18","10.333333333333334","9","14"
"19","19.833333333333332","9","66"
"20","19","9","66"
"21","9.5","9","12"
"22","9.333333333333334","8","12"
"23","9","8","12"
"24","9","8","12"
"25","9.333333333333334","8","12"
"26","9.333333333333334","8","12"
"27","9","8","10"
"28","9","8","10"
"29","9","8","10"
"30","9.166666666666666","8","10"
"31","9.166666666666666","8","10"
"32","9.166666666666666","8","10"
"33","9.166666666666666","8","10"
"34","9.166666666666666","8","10"
"35","9.166666666666666","8","10"
"36","9.166666666666666","8","10"
"37","9.333333333333334","8","10"
"38","9.333333333333334","8","10"
"39","9.333333333333334","8","10"
"40","9.333333333333334","8","10"
"41","9.333333333333334","8","10"
"42","9.333333333333334","8","10"
"43","9.333333333333334","8","10"
"44","15.333333333333334","8","45"
"45","15.333333333333334","8","45"
"46","15.333333333333334","8","45"
"47","15.333333333333334","8","45"
"48","15.333333333333334","8","45"
"49","15.333333333333334","8","45"
"50","15.333333333333334","8","45"
"51","16.6","8","45"
"52","16.6","8","45"
"53","16.6","8","45"
"54","16.8","8","45"
"55","17.2","9","45"
"56","17","8","45"
"57","17","8","45"
"58","17","8","45"
"59","17","8","45"
"60","17","8","45"
"61","17","8","45"
"62","17","8","45"
"63","17","8","45"
"64","24.4","10","45"
"65","24.4","10","45"
"66","17","8","45"
"67","17","8","45"
"68","17","8","45"
"69","17","8","45"
"70","19.4","9","45"
"71","19.4","9","45"
"72","19.2","8","45"
"73","19.2","8","45"
"74","19.2","8","45"
"75","16.8","8","45"
"76","16.8","8","45"
"77","16.8","8","45"
"78","16.8","8","45"
"79","16.8","8","45"
"80","16.8","8","45"
"81","16.8","8","45"
"82","16.8","8","45"
"83","16.8","8","45"
"84","16.8","8","45"
"85","16.8","8","45"
"86","22.4","10","45"
"87","22.4","10","45"
"88","23.2","10","45"
"89","23.2","10","45"
"90","23.2","10","45"
"91","23.2","10","45"
"92","25.2","10","50"
"93","25.2","10","50"
"94","25.2","10","50"
"95","25.2","10","50"
"96","25.4","10","50"
"97","25.4","10","50"
"98","25.4","10","50"
"99","25.4","10","50"
"100","25.4","10","50"
"101","25.4","10","50"
"102","25.6","10","50"
"103","25.6","10","50"
"104","25.6","10","50"
"105","25.6","10","50"
"106","25.6","10","50"
"107","25.6","10","50"
"108","25.6","10","50"
"109","25.6","10","50"
"110","25.6","10","50"
"111","25.6","10","50"
"112","25.6","10","50"
"113","25.6","10","50"
